snapshot_id,snapshot_ts,reason,candle_open_time,candle_close_time,position_open_time,side,size,entry_px,fees,funding,realised_pnl,fill_type,balance,equity,upnl
33082,1741104300000,Interval,1741104300000,1741104359999,1741101240000,Long,624.5703588225,135.0100000000,25.2969732434,-8.6509240401,0.0000000000,Market,11698.4328014312,13147.4360338994,1449.0032324682
33083,1741105200000,Interval,1741105200000,1741105259999,1741101240000,Long,624.5703588225,135.0100000000,25.2969732434,-8.6509240401,0.0000000000,Market,11698.4328014312,12335.4945674301,637.0617659990
33084,1741105380000,Flatten,1741105380000,1741105439999,1741101240000,Long,624.5703588225,135.0100000000,25.2969732434,-8.6509240401,0.0000000000,Market,11698.4328014312,11348.6734004905,-349.7594009406
36327,1744022340000,Open,1744022340000,1744022399999,1744022340000,Long,822.2208005345,101.3900000000,25.0094900899,0.0000000000,0.0000000000,Market,11567.1618241120,11665.8283201761,98.6664960641
36328,1744023000000,Interval,1744023000000,1744023059999,1744022340000,Long,822.2208005345,101.3900000000,25.0094900899,0.0000000000,0.0000000000,Market,11567.1618241120,11139.6070078340,-427.5548162779
36329,1744023300000,Flatten,1744023300000,1744023359999,1744022340000,Long,822.2208005345,101.3900000000,25.0094900899,0.0000000000,0.0000000000,Market,11567.1618241120,10621.6079034973,-945.5539206146
42752,1749802140000,Open,1749802140000,1749802199999,1749802140000,Long,523.6979269202,145.1700000000,22.8075684153,0.0000000000,0.0000000000,Market,10574.0745111683,10846.3974331669,272.3229219985
42753,1749802320000,Flatten,1749802320000,1749802379999,1749802140000,Long,523.6979269202,145.1700000000,22.8075684153,0.0000000000,0.0000000000,Market,10574.0745111683,11186.8010856650,612.7265744966
42762,1749808560000,Open,1749808560000,1749808619999,1749808560000,Long,547.5993758216,144.6100000000,23.7565037213,0.0000000000,0.0000000000,Market,10982.9909502934,11043.2268816338,60.2359313404
42763,1749809100000,Interval,1749809100000,1749809159999,1749808560000,Long,547.5993758216,144.6100000000,23.7565037213,0.0000000000,0.0000000000,Market,10982.9909502934,10490.1515120539,-492.8394382395
42764,1749809520000,Flatten,1749809520000,1749809579999,1749808560000,Long,547.5993758216,144.6100000000,23.7565037213,0.0000000000,0.0000000000,Market,10982.9909502934,10791.3311687558,-191.6597815376
42770,1749812820000,Open,1749812820000,1749812879999,1749812820000,Long,532.9266591916,145.1000000000,23.1982974746,0.0000000000,0.0000000000,Market,10738.9595145343,10898.8375122918,159.8779977575
42771,1749813600000,Interval,1749813600000,1749813659999,1749812820000,Long,532.9266591916,145.1000000000,23.1982974746,0.0000000000,0.0000000000,Market,10738.9595145343,10509.8010510819,-229.1584634524
42772,1749813780000,Flatten,1749813780000,1749813839999,1749812820000,Long,532.9266591916,145.1000000000,23.1982974746,0.0000000000,0.0000000000,Market,10738.9595145343,10387.2279194679,-351.7315950665
42774,1749814260000,Open,1749814260000,1749814319999,1749814260000,Long,515.2211509419,144.6600000000,22.3595675086,0.0000000000,0.0000000000,Market,10336.4479061512,10387.9700212454,51.5221150942
42775,1749814500000,Interval,1749814500000,1749814559999,1749814260000,Long,515.2211509419,144.6600000000,22.3595675086,0.0000000000,0.0000000000,Market,10336.4479061512,10290.0780025665,-46.3699035848
42776,1749815220000,Flatten,1749815220000,1749815279999,1749814260000,Long,515.2211509419,144.6600000000,22.3595675086,0.0000000000,0.0000000000,Market,10336.4479061512,10547.6885780374,211.2406718862
42777,1749815400000,Interval,1749815400000,1749815459999,1749814260000,Long,515.2211509419,144.6600000000,22.3595675086,0.0000000000,0.0000000000,Market,10336.4479061512,10470.4054053961,133.9574992449
42789,1749825060000,Open,1749825060000,1749825119999,1749825060000,Long,527.9220834445,144.0500000000,22.8141528361,0.0000000000,0.0000000000,Market,10553.9581439509,10659.5425606398,105.5844166889
42790,1749825300000,Interval,1749825300000,1749825359999,1749825060000,Long,527.9220834445,144.0500000000,22.8141528361,0.0000000000,0.0000000000,Market,10553.9581439509,10580.3542481231,26.3961041722
42791,1749826080000,Flatten,1749826080000,1749826139999,1749825060000,Long,527.9220834445,144.0500000000,22.8141528361,0.0000000000,0.0000000000,Market,10553.9581439509,11097.7178898987,543.7597459478
44563,1751419140000,Open,1751419140000,1751419199999,1751419140000,Long,541.6965437613,146.1000000000,23.7425595131,0.0000000000,0.0000000000,Market,11024.6098642848,11430.8822721058,406.2724078210
44564,1751419200000,Interval,1751419200000,1751419259999,1751419140000,Long,541.6965437613,146.1000000000,23.7425595131,0.0000000000,0.0000000000,Market,11024.6098642848,11436.2992375434,411.6893732586
44565,1751420100000,Interval,1751420100000,1751420159999,1751419140000,Long,541.6965437613,146.1000000000,23.7425595131,0.0000000000,0.0000000000,Market,11024.6098642848,11799.2359218635,774.6260575786
44566,1751420520000,Flatten,1751420520000,1751420579999,1751419140000,Long,541.6965437613,146.1000000000,23.7425595131,0.0000000000,0.0000000000,Market,11024.6098642848,11907.5752306157,882.9653663309
48879,1755300540000,Open,1755300540000,1755300599999,1755300540000,Long,457.6007200429,185.0600000000,25.4050767753,0.0000000000,0.0000000000,Market,11755.2712381058,11892.5514541186,137.2802160129
48880,1755300900000,Interval,1755300900000,1755300959999,1755300540000,Long,457.6007200429,185.0600000000,25.4050767753,0.0000000000,0.0000000000,Market,11755.2712381058,11727.8151949032,-27.4560432026
48881,1755301500000,Flatten,1755301500000,1755301559999,1755300540000,Long,457.6007200429,185.0600000000,25.4050767753,0.0000000000,0.0000000000,Market,11755.2712381058,11791.8792957092,36.6080576034
49135,1755528480000,Open,1755528480000,1755528539999,1755528480000,Long,467.4138135373,181.2300000000,25.4128216282,0.0000000000,0.0000000000,Market,11745.6250492867,11787.6922925050,42.0672432184
49136,1755528600000,Interval,1755528600000,1755528659999,1755528480000,Long,467.4138135373,181.2300000000,25.4128216282,0.0000000000,0.0000000000,Market,11745.6250492867,11759.6474636928,14.0224144061
49137,1755529500000,Interval,1755529500000,1755529559999,1755528480000,Long,467.4138135373,181.2300000000,25.4128216282,0.0000000000,0.0000000000,Market,11745.6250492867,12128.9043763873,383.2793271006
49138,1755530280000,Flatten,1755530280000,1755530339999,1755528480000,Long,467.4138135373,181.2300000000,25.4128216282,0.0000000000,0.0000000000,Market,11745.6250492867,11750.2991874220,4.6741381354
54299,1760172840000,Open,1760172840000,1760172899999,1760172840000,Long,453.3790104059,185.6800000000,25.2550243956,0.0000000000,0.0000000000,Market,11699.6299391567,11935.3870245678,235.7570854111
